,0,1
287,SLUMBERJACK,2
288,Demi Lovato,2
289,Demi Lovato,2
290,4 Non Blondes,2
291,Crystal Castles,2
292,Kaskade,2
293,David Guetta,2
294,Breathe Carolina,2
295,Cosmic Gate,2
296,Miguel,2
297,Eminem,2
298,Papa Roach,2
299,Status Quo,2
300,A Day To Remember,2
301,Beartooth,2
302,Volbeat,2
303,Four Year Strong,2
304,Neck Deep,2
305,FIDLAR,2
306,FIDLAR,2
307,Thrice,2
308,Suyano,2
309,System Of A Down,2
310,Gary Clark Jr.,2
311,Panic! At The Disco,2
312,M83,2
313,Kings of Leon,2
314,Kina Grannis,2
315,Grimes,2
316,Matthew Dear,2
317,Poolside,2
318,Purity Ring,2
319,Kina Grannis,2
320,Big Time Rush,2
321,Big Time Rush,2
322,Lemonade,2
323,Foo Fighters,2
324,Eve 6,2
325,Kavinsky,2
326,CID,2
327,Problem,2
328,CHVRCHES,2
329,Adrian Lux,2
330,Tommy Trash,2
331,Dash Berlin,2
332,Iamsu!,2
333,Madison Mars,2
334,Purity Ring,2
335,The Partysquad,2
336,Galantis,2
337,The Goo Goo Dolls,2
338,Wiley,2
339,Steve Angello,2
340,FIDLAR,2
341,Marshmello,2
342,Sebastian Ingrosso,2
343,Martin Garrix,2
344,Baauer,2
345,Above & Beyond,2
346,Booba,2
347,Alesso,2
348,Dirty South,2
349,Tritonal,2
350,Friction,2
351,Daydreamer,2
352,Tiësto,2
353,FIDLAR,2
354,Hardwell,2
355,Wavves,2
356,Kanye West,2
357,Meek Mill,2
358,Showtek,2
359,North Point InsideOut,2
360,Ivan Gough & Feenixpawl feat. Georgi Kay,2
361,Reba McEntire,2
362,Jme,2
363,Hailee Steinfeld,2
364,Hillsong United,2
365,Ashlee Simpson,2
366,5 Seconds of Summer,2
367,Grayson Reed,2
368,Ellie Holcomb,2
369,Twin Shadow,2
370,Derek Minor,2
371,Beach House,2
372,Kim Walker-Smith,2
373,The Seshen,2
374,The Seshen,2
375,CHVRCHES,2
376,Kanye West,2
377,Danny Gokey,2
378,Lauren Daigle,2
379,Florence + The Machine,2
380,Passion,2
381,Matt Redman,2
382,one sonic society,2
383,Phil Wickham,2
384,Cody Carnes,2
385,Victim Of Deception,2
386,Luke Combs,2
387,Michael Ray,2
388,High School Musical Cast,2
389,Zac Brown Band,2
390,The Killers,2
391,T.I.,2
392,Skye Sweetnam,2
393,Drake,2
394,JoJo,2
395,JoJo,2
396,Machine Gun Kelly,2
397,Imagine Dragons,2
398,Fall Out Boy,2
399,Fall Out Boy,2
400,Reik,2
401,Benny Benassi,2
402,Kim Walker-Smith,2
403,A Wake in Providence,2
404,Josh Turner,2
405,Jackie Lee,2
406,Russell Dickerson,2
407,Love and Theft,2
408,Dan + Shay,2
409,Jason Aldean,2
410,Aaron Shust,2
411,Zac Brown Band,2
412,Ryan Hurd,2
413,Logan Mize,2
414,Brett Young,2
415,Brooke Eden,2
416,Chris Lane,2
417,Jason Aldean,2
418,Canaan Smith,2
419,Noisia,2
420,Thy Art Is Murder,2
421,Beyond the Extraction,2
422,Skrillex,2
423,Skrillex,2
424,Skrillex,2
425,Duke Dumont,2
426,Skrillex,2
427,The Lumineers,2
428,Gavin DeGraw,2
429,Hyukoh,2
430,Hyukoh,2
431,Oohyo,2
432,Colin & Caroline,2
433,Jon McLaughlin,2
434,TR/ST,2
435,Jack White,2
436,Holley Maher,2
437,Jon McLaughlin,2
438,The Accidentals,2
439,Swedish House Mafia,2
440,Monica,2
441,Rick Ross,2
442,Rick Ross,2
443,EDX,2
444,Still Young,2
445,Buku,2
446,ScHoolboy Q,2
447,Phantogram,2
448,Yellow Claw,2
449,Antwon,2
450,The Gaslamp Killer,2
451,Empress Of,2
452,Emmure,2
453,Chris Bear,2
454,DILLY DALLY,2
455,Into Oblivion,2
456,Hive,2
457,Until We Die,2
458,Altered Perceptions,2
459,I Shall Devour,2
460,I Declare War,2
461,Neberu,2
462,Shotgun Surgeon,2
463,Whitechapel,2
464,Advocates,2
465,A Trust Unclean,2
466,To The Grave,2
467,Mycelia,2
468,Extortionist,2
469,The End At The Beginning,2
470,Conjonctive,2
471,Courtney Barnett,2
472,Lorna Shore,2
473,Within The Ruins,2
474,Pond,2
475,Ben Pearce,2
476,Buried Side,2
477,Belie My Burial,2
478,Shadow of Intent,2
479,Paragon,2
480,Chelsea Grin,2
481,The Machinist,2
482,Jillian Jacqueline,2
483,Bleachers,2
484,Juveniles,2
485,Ty Segall,2
486,WALK THE MOON,2
487,WALK THE MOON,2
488,The Sonics,2
489,The Black Keys,2
490,Bomba Estéreo,2
491,The Kinks,2
492,Grimes,2
493,Kwabs,2
494,WALK THE MOON,2
495,Open Mike Eagle,2
496,Drake,2
497,Terror Train,2
498,Jimi Hendrix,2
499,WALK THE MOON,2
500,Young Thug,2
501,Bassnectar,2
502,Jauz,2
503,The Orwells,2
504,The Districts,2
505,Cults,2
506,Cathedrals,2
507,Jagwar Ma,2
508,Mikal Cronin,2
509,Kanye West,2
510,Matthew Dear,2
511,FIDLAR,2
512,ILoveMakonnen,2
513,Nickelback,2
514,Nickelback,2
515,Com Truise,2
516,Ex Hex,2
517,Cher,2
518,Major Lazer,2
519,Fela Kuti,2
520,The Chainsmokers,2
521,NERVO,2
522,The Stooges,2
523,Ty Segall,2
524,Future Islands,2
525,Tame Impala,2
526,Kuuro,2
527,Erkin Koray,2
528,Martin Garrix,2
529,Beach House,2
530,Icona Pop,2
531,The Rapture,2
532,Isaac Hayes,2
533,Rain Man,2
534,Fat Tony,2
535,Grimes,2
536,Martin Solveig,2
537,Death Grips,2
538,Elliphant,2
539,Purity Ring,2
540,Atlas Sound,2
541,Gary Clark Jr.,2
542,Lost Kings,2
543,Lost Kings,2
544,Tommie Sunshine,2
545,Post Malone,2
546,San Holo,2
547,The Chainsmokers,2
548,The Chainsmokers,2
549,Steve Aoki,2
550,Brett Young,3
551,Kelsea Ballerini,3
552,Rich Homie Quan,3
553,Mandy Moore,3
554,New Edition,3
555,DJ Khaled,3
556,Wilson Phillips,3
557,Beastie Boys,3
558,Parmalee,3
559,D. Gookin,3
560,Zac Brown Band,3
561,Michael Jackson,3
562,Dierks Bentley,3
563,Chris Brown,3
564,Chris Young,3
565,A$AP Rocky,3
566,Boyce Avenue,3
567,Beyoncé,3
568,The Yardbirds,3
569,Rhythms Del Mundo,3
570,Oleander,3
571,Gary Clark Jr.,3
572,Tree,3
573,Toro y Moi,3
574,Travis Hayes,3
575,Jefferson Airplane,3
576,Ana Tijoux,3
577,Anita Dobson,3
578,Janet Jackson,3
579,Discodeine,3
580,Tom Scott,3
581,Tanlines,3
582,Horace Andy,3
583,William Onyeabor,3
584,Mykfresh,3
585,Barrington Levy,3
586,Rene & Angela,3
587,Sísý Ey,3
588,Bill Withers,3
589,Shocking Blue,3
590,Mick Jenkins,3
591,Theophilus London,3
592,Toni Braxton,3
593,Claptone,3
594,Magic City Hippies,3
595,Archie Bell & The Drells,3
596,21 Savage,3
597,Vanilla Ice,3
598,Devin Dawson,3
599,JoJo,3
600,Jon Pardi,3
601,DEAN,3
602,Jon McLaughlin,3
603,3LW,3
604,Rude Paper,3
605,Destiny's Child,3
606,Mot,3
607,Mario,3
608,Usher,3
609,Usher,3
610,DJ Khaled,3
611,Ne-Yo,3
612,Julia Michaels,3
613,The Chainsmokers,3
614,Loote,3
615,Galantis,3
616,Ne-Yo,3
617,Backstreet Boys,3
618,Next,3
619,Blaque,3
620,David Archuleta,3
621,Kygo,3
622,Modern Folk Üçlüsü,3
623,Bring Me The Horizon,3
624,Electric Guest,3
625,Robin Thicke,3
626,Starley,3
627,Boyz II Men,3
628,Dr. John,3
629,The Hipwaders,3
630,Tep No,3
631,Backstreet Boys,3
632,Owl City,3
633,Maren Morris,3
634,Lil Wayne,3
635,Phantogram,3
636,20th Century Steel Band,3
637,Thomas Rhett,3
638,Des'ree,3
639,Farruko,3
640,Nicky Jam,3
641,Xantos,3
642,Selena Gomez,3
643,Charlie Puth,3
644,Lady Gaga,3
645,Kygo,3
646,Zedd,3
647,Cheat Codes,3
648,Niall Horan,3
649,Kygo,3
650,Zara Larsson,3
651,Kate Boy,3
652,Bruno Mars,3
653,Lindisfarne,3
654,Wheeler Walker Jr.,3
655,for KING & COUNTRY,3
656,Holly Starr,3
657,Zach Williams,3
658,Natasha Bedingfield,3
659,Disclosure,3
660,Hailee Steinfeld,3
661,Arctic Monkeys,3
662,Flo Rida,3
663,Natalie La Rose,3
664,Selena Gomez & The Scene,3
665,Snoop Dogg,3
666,Bea Miller,3
667,Robin Thicke,3
668,TR/ST,3
669,Sebastian Yatra,3
670,Bibio,3
671,Train,3
672,On The House featuring Marshall Jefferson,3
673,Roach Gigz,3
674,Memoryhouse,3
675,Trina,3
676,Stacey Q,3
677,tUnE-yArDs,3
678,Canyons,3
679,Western Tink,3
680,Central Line,3
681,5kinAndBone5,3
682,Savage,3
683,A Tribe Called Quest,3
684,TLC,3
685,Finatticz,3
686,Violent Femmes,3
687,Justin Timberlake,3
688,Backstreet Boys,3
689,Sage The Gemini,3
690,YACHT,3
691,Creative Source,3
692,Sky Saxon & The Seeds,3
693,Daft Punk,4
694,King Tubby,4
695,Depeche Mode,4
696,Spoon,4
697,Shawn Mendes,4
698,2 LIVE CREW,4
699,Sean Kingston,4
700,Worlds Famous Supreme Team,4
